"index";"Nom de l'opérateur";"Millésime des données";"Code de l'IRIS - Code de la zone";"Code de l'IRIS - Libellé de la zone";"Énergie concernée";"Code du grand secteur";"Consommation (en MWh)";"Nombre de points de livraison"
"ID";"OPERATEUR";"ANNEE";"IRIS_CODE";"IRIS_LIBELLE";"FILIERE";"CODE_GRAND_SECTEUR";"CONSO";"PDL"
"7501C";"Paris et communes limitrophes";"2019";"751124618";"Picpus 18";"C";"T";267;1
"7501C";"Paris et communes limitrophes";"2019";"751124618";"Picpus 18";"C";"X";1189;2
"7501C";"Paris et communes limitrophes";"2019";"751124619";"Picpus 19";"C";"R";3079.6;4
"7501C";"Paris et communes limitrophes";"2019";"751124619";"Picpus 19";"C";"T";1958.57;3
"7501C";"Paris et communes limitrophes";"2019";"751124619";"Picpus 19";"C";"X";7959.36;7
"7501C";"Paris et communes limitrophes";"2019";"751124620";"Picpus 20";"C";"R";3294.03;3
"7501C";"Paris et communes limitrophes";"2019";"751124620";"Picpus 20";"C";"T";"secret";"secret"
"7501C";"Paris et communes limitrophes";"2019";"751124620";"Picpus 20";"C";"X";1334;5
"7501C";"Paris et communes limitrophes";"2019";"751124621";"Picpus 21";"C";"X";1944.12;4
"7501C";"Paris et communes limitrophes";"2019";"751124622";"Picpus 22";"C";"X";948;1
"7501C";"Paris et communes limitrophes";"2019";"751124623";"Picpus 23";"C";"X";"secret";"secret"
"7501C";"Paris et communes limitrophes";"2019";"751124624";"Picpus 24";"C";"R";1220;1
"7501C";"Paris et communes limitrophes";"2019";"751124704";"Bercy 4";"C";"R";388;1
"7501C";"Paris et communes limitrophes";"2019";"751124705";"Bercy 5";"C";"R";4655.16;6
"7501C";"Paris et communes limitrophes";"2019";"751124705";"Bercy 5";"C";"T";513.04;2
"7501C";"Paris et communes limitrophes";"2019";"751124705";"Bercy 5";"C";"X";6070.8;22
"7501C";"Paris et communes limitrophes";"2019";"751124707";"Bercy 7";"C";"R";1672;1
"7501C";"Paris et communes limitrophes";"2019";"751124707";"Bercy 7";"C";"T";5941.1;5
"7501C";"Paris et communes limitrophes";"2019";"751124707";"Bercy 7";"C";"X";2877.22;2
"7501C";"Paris et communes limitrophes";"2019";"751124708";"Jardin de Bercy";"C";"X";3521;1
"7501C";"Paris et communes limitrophes";"2019";"751124801";"Quinze Vingts 1";"C";"R";238;1
"7501C";"Paris et communes limitrophes";"2019";"751124801";"Quinze Vingts 1";"C";"X";784.82;2
"7501C";"Paris et communes limitrophes";"2019";"751124802";"Quinze Vingts 2";"C";"T";3319.81;5
"7501C";"Paris et communes limitrophes";"2019";"751124802";"Quinze Vingts 2";"C";"X";1153.15;3
"7501C";"Paris et communes limitrophes";"2019";"751124803";"Quinze Vingts 3";"C";"R";4147.67;13
"7501C";"Paris et communes limitrophes";"2019";"751124803";"Quinze Vingts 3";"C";"T";22004.02;16
"7501C";"Paris et communes limitrophes";"2019";"751124803";"Quinze Vingts 3";"C";"X";5167.53;8
"7501C";"Paris et communes limitrophes";"2019";"751124804";"Quinze Vingts 4";"C";"R";5976.9;16
"7501C";"Paris et communes limitrophes";"2019";"751124804";"Quinze Vingts 4";"C";"T";3821.8;12
"7501C";"Paris et communes limitrophes";"2019";"751124804";"Quinze Vingts 4";"C";"X";2890.98;8
"7501C";"Paris et communes limitrophes";"2019";"751124805";"Quinze Vingts 5";"C";"R";1078.96;5
"7501C";"Paris et communes limitrophes";"2019";"751124805";"Quinze Vingts 5";"C";"T";939.19;10
"7501C";"Paris et communes limitrophes";"2019";"751124805";"Quinze Vingts 5";"C";"X";7027.84;5
"7501C";"Paris et communes limitrophes";"2019";"751124806";"Quinze Vingts 6";"C";"R";338.74;2
"7501C";"Paris et communes limitrophes";"2019";"751124807";"Quinze Vingts 7";"C";"R";610;1
"7501C";"Paris et communes limitrophes";"2019";"751124807";"Quinze Vingts 7";"C";"T";810.61;3
"7501C";"Paris et communes limitrophes";"2019";"751124807";"Quinze Vingts 7";"C";"X";517.53;2
"7501C";"Paris et communes limitrophes";"2019";"751124808";"Quinze Vingts 8";"C";"R";2386.51;15
"7501C";"Paris et communes limitrophes";"2019";"751124808";"Quinze Vingts 8";"C";"T";571.32;4
"7501C";"Paris et communes limitrophes";"2019";"751124810";"Quinze Vingts 10";"C";"T";943.96;2
"7501C";"Paris et communes limitrophes";"2019";"751124810";"Quinze Vingts 10";"C";"X";1267;1
"7501C";"Paris et communes limitrophes";"2019";"751124811";"Quinze Vingts 11";"C";"T";1738.48;3
"7501C";"Paris et communes limitrophes";"2019";"751124811";"Quinze Vingts 11";"C";"X";4805.81;5
"7501C";"Paris et communes limitrophes";"2019";"751124812";"Quinze Vingts 12";"C";"R";1062.68;3
"7501C";"Paris et communes limitrophes";"2019";"751124812";"Quinze Vingts 12";"C";"T";9050.77;8
"7501C";"Paris et communes limitrophes";"2019";"751124812";"Quinze Vingts 12";"C";"X";5668.01;6
"7501C";"Paris et communes limitrophes";"2019";"751124813";"Quinze Vingts 13";"C";"X";20367.37;2
"7501C";"Paris et communes limitrophes";"2019";"751124899";"Seine et Berges";"C";"X";339.44;1
"7501C";"Paris et communes limitrophes";"2019";"75112XXXX";"Iris fictif de la commune Paris 12e Arrondissement";"C";"R";222.34;2
"7501C";"Paris et communes limitrophes";"2019";"75112XXXX";"Iris fictif de la commune Paris 12e Arrondissement";"C";"T";"secret";"secret"
"7501C";"Paris et communes limitrophes";"2019";"75112XXXX";"Iris fictif de la commune Paris 12e Arrondissement";"C";"X";3310.35;4
"7501C";"Paris et communes limitrophes";"2019";"751134901";"Salpetriere 1";"C";"R";245;1
"7501C";"Paris et communes limitrophes";"2019";"751134901";"Salpetriere 1";"C";"X";7198.12;5
"7501C";"Paris et communes limitrophes";"2019";"751134902";"Salpetriere 2";"C";"R";3655.77;5
"7501C";"Paris et communes limitrophes";"2019";"751134902";"Salpetriere 2";"C";"X";754;1
"7501C";"Paris et communes limitrophes";"2019";"751134903";"Salpetriere 3";"C";"R";3151.81;3
"7501C";"Paris et communes limitrophes";"2019";"751134903";"Salpetriere 3";"C";"T";591.99;3
"7501C";"Paris et communes limitrophes";"2019";"751134903";"Salpetriere 3";"C";"X";610;3
"7501C";"Paris et communes limitrophes";"2019";"751134904";"Salpetriere 4";"C";"X";6903.31;3
"7501C";"Paris et communes limitrophes";"2019";"751134905";"Salpetriere 5";"C";"R";664.2;2
"7501C";"Paris et communes limitrophes";"2019";"751134905";"Salpetriere 5";"C";"T";2396.29;1
"7501C";"Paris et communes limitrophes";"2019";"751134905";"Salpetriere 5";"C";"X";4009.67;5
"7501C";"Paris et communes limitrophes";"2019";"751134906";"Salpetriere 6";"C";"R";710.94;1
"7501C";"Paris et communes limitrophes";"2019";"751134906";"Salpetriere 6";"C";"X";"secret";"secret"
"7501C";"Paris et communes limitrophes";"2019";"751134907";"Salpetriere 7";"C";"R";959.07;4
"7501C";"Paris et communes limitrophes";"2019";"751134907";"Salpetriere 7";"C";"T";233.5;1
"7501C";"Paris et communes limitrophes";"2019";"751134907";"Salpetriere 7";"C";"X";4758.04;7
"7501C";"Paris et communes limitrophes";"2019";"751134908";"Salpetriere 8";"C";"R";"secret";"secret"
"7501C";"Paris et communes limitrophes";"2019";"751134908";"Salpetriere 8";"C";"T";8775.34;11
"7501C";"Paris et communes limitrophes";"2019";"751134908";"Salpetriere 8";"C";"X";73332.03;10
"7501C";"Paris et communes limitrophes";"2019";"751134999";"Seine et Berges 1";"C";"T";882;1
"7501C";"Paris et communes limitrophes";"2019";"751135001";"Gare 1";"C";"X";8791.65;2
"7501C";"Paris et communes limitrophes";"2019";"751135002";"Gare 2";"C";"X";2881;5
"7501C";"Paris et communes limitrophes";"2019";"751135003";"Gare 3";"C";"R";2419.98;1
"7501C";"Paris et communes limitrophes";"2019";"751135003";"Gare 3";"C";"T";13036;2
"7501C";"Paris et communes limitrophes";"2019";"751135003";"Gare 3";"C";"X";945;3
"7501C";"Paris et communes limitrophes";"2019";"751135004";"Gare 4";"C";"R";12709.11;4
"7501C";"Paris et communes limitrophes";"2019";"751135004";"Gare 4";"C";"X";2163.49;1
"7501C";"Paris et communes limitrophes";"2019";"751135005";"Gare 5";"C";"R";2797.21;3
"7501C";"Paris et communes limitrophes";"2019";"751135005";"Gare 5";"C";"T";318.53;3
"7501C";"Paris et communes limitrophes";"2019";"751135005";"Gare 5";"C";"X";2750;2
"7501C";"Paris et communes limitrophes";"2019";"751135006";"Gare 6";"C";"R";744;1
"7501C";"Paris et communes limitrophes";"2019";"751135006";"Gare 6";"C";"X";5033.73;6
"7501C";"Paris et communes limitrophes";"2019";"751135007";"Gare 7";"C";"R";1798.26;1
"7501C";"Paris et communes limitrophes";"2019";"751135007";"Gare 7";"C";"T";13673.75;2
"7501C";"Paris et communes limitrophes";"2019";"751135007";"Gare 7";"C";"X";9778.65;3
"7501C";"Paris et communes limitrophes";"2019";"751135008";"Gare 8";"C";"R";3909.47;1
"7501C";"Paris et communes limitrophes";"2019";"751135008";"Gare 8";"C";"T";4275.4;1
"7501C";"Paris et communes limitrophes";"2019";"751135008";"Gare 8";"C";"X";3977.97;3
"7501C";"Paris et communes limitrophes";"2019";"751135009";"Gare 9";"C";"X";1333;1
"7501C";"Paris et communes limitrophes";"2019";"751135010";"Gare 10";"C";"R";1054;4
"7501C";"Paris et communes limitrophes";"2019";"751135010";"Gare 10";"C";"T";1028.08;1
"7501C";"Paris et communes limitrophes";"2019";"751135011";"Gare 11";"C";"X";927;3
"7501C";"Paris et communes limitrophes";"2019";"751135012";"Gare 12";"C";"X";1058;1
"7501C";"Paris et communes limitrophes";"2019";"751135013";"Gare 13";"C";"X";2442.73;4
"7501C";"Paris et communes limitrophes";"2019";"751135014";"Gare 14";"C";"R";"secret";"secret"
"7501C";"Paris et communes limitrophes";"2019";"751135014";"Gare 14";"C";"X";4092.27;6
"7501C";"Paris et communes limitrophes";"2019";"751135015";"Gare 15";"C";"T";4144;4
"7501C";"Paris et communes limitrophes";"2019";"751135015";"Gare 15";"C";"X";9734.49;18
"7501C";"Paris et communes limitrophes";"2019";"751135016";"Gare 16";"C";"T";2985;4
"7501C";"Paris et communes limitrophes";"2019";"751135016";"Gare 16";"C";"X";18866.1;19
"7501C";"Paris et communes limitrophes";"2019";"751135017";"Gare 17";"C";"R";963.25;1
"7501C";"Paris et communes limitrophes";"2019";"751135017";"Gare 17";"C";"T";3198;6
"7501C";"Paris et communes limitrophes";"2019";"751135017";"Gare 17";"C";"X";463.5;2
"7501C";"Paris et communes limitrophes";"2019";"751135018";"Gare 18";"C";"T";4815.58;5
"7501C";"Paris et communes limitrophes";"2019";"751135018";"Gare 18";"C";"X";4962.59;6
"7501C";"Paris et communes limitrophes";"2019";"751135020";"Gare 20";"C";"R";434.93;1
"7501C";"Paris et communes limitrophes";"2019";"751135020";"Gare 20";"C";"T";402.87;1
"7501C";"Paris et communes limitrophes";"2019";"751135020";"Gare 20";"C";"X";338;1
"7501C";"Paris et communes limitrophes";"2019";"751135021";"Gare 21";"C";"R";9043.59;5
"7501C";"Paris et communes limitrophes";"2019";"751135021";"Gare 21";"C";"T";1139;2
"7501C";"Paris et communes limitrophes";"2019";"751135021";"Gare 21";"C";"X";2447.87;3
"7501C";"Paris et communes limitrophes";"2019";"751135023";"Gare 23";"C";"R";2167.67;1
"7501C";"Paris et communes limitrophes";"2019";"751135023";"Gare 23";"C";"X";13037.47;4
"7501C";"Paris et communes limitrophes";"2019";"751135024";"Gare 24";"C";"R";3160.29;3
"7501C";"Paris et communes limitrophes";"2019";"751135025";"Gare 25";"C";"R";1764.11;1
"7501C";"Paris et communes limitrophes";"2019";"751135025";"Gare 25";"C";"X";5235.19;9
"7501C";"Paris et communes limitrophes";"2019";"751135026";"Gare 26";"C";"R";959.78;3
"7501C";"Paris et communes limitrophes";"2019";"751135026";"Gare 26";"C";"X";2454.86;4
"7501C";"Paris et communes limitrophes";"2019";"751135027";"Gare 27";"C";"X";5736.58;7
"7501C";"Paris et communes limitrophes";"2019";"751135028";"Gare 28";"C";"R";9783.78;5
"7501C";"Paris et communes limitrophes";"2019";"751135028";"Gare 28";"C";"T";"secret";"secret"
"7501C";"Paris et communes limitrophes";"2019";"751135028";"Gare 28";"C";"X";8058.4;9
"7501C";"Paris et communes limitrophes";"2019";"751135029";"Gare 29";"C";"R";5589.24;2
"7501C";"Paris et communes limitrophes";"2019";"751135029";"Gare 29";"C";"T";209;1
"7501C";"Paris et communes limitrophes";"2019";"751135029";"Gare 29";"C";"X";17405.17;10
"7501C";"Paris et communes limitrophes";"2019";"751135030";"Gare 30";"C";"X";6506.36;7
"7501C";"Paris et communes limitrophes";"2019";"751135031";"Gare 31";"C";"T";"secret";"secret"
"7501C";"Paris et communes limitrophes";"2019";"751135031";"Gare 31";"C";"X";7816.58;8
"7501C";"Paris et communes limitrophes";"2019";"751135032";"Gare 32";"C";"X";1964;5
"7501C";"Paris et communes limitrophes";"2019";"751135101";"Maison Blanche 1";"C";"T";6618.02;1
"7501C";"Paris et communes limitrophes";"2019";"751135101";"Maison Blanche 1";"C";"X";2572.63;2
"7501C";"Paris et communes limitrophes";"2019";"751135102";"Maison Blanche 2";"C";"R";12001.65;2
"7501C";"Paris et communes limitrophes";"2019";"751135102";"Maison Blanche 2";"C";"X";622;1
"7501C";"Paris et communes limitrophes";"2019";"751135103";"Maison Blanche 3";"C";"R";2051.32;2
"7501C";"Paris et communes limitrophes";"2019";"751135103";"Maison Blanche 3";"C";"T";"secret";"secret"
"7501C";"Paris et communes limitrophes";"2019";"751135104";"Maison Blanche 4";"C";"T";"secret";"secret"
"7501C";"Paris et communes limitrophes";"2019";"751135104";"Maison Blanche 4";"C";"X";3783;5
"7501C";"Paris et communes limitrophes";"2019";"751135105";"Maison Blanche 5";"C";"R";5311.48;3
"7501C";"Paris et communes limitrophes";"2019";"751135105";"Maison Blanche 5";"C";"T";512.89;2
"7501C";"Paris et communes limitrophes";"2019";"751135105";"Maison Blanche 5";"C";"X";1508.3;2
"7501C";"Paris et communes limitrophes";"2019";"751135106";"Maison Blanche 6";"C";"X";243.95;1
"7501C";"Paris et communes limitrophes";"2019";"751135107";"Maison Blanche 7";"C";"R";1831.72;1
"7501C";"Paris et communes limitrophes";"2019";"751135108";"Maison Blanche 8";"C";"X";6771.89;6
"7501C";"Paris et communes limitrophes";"2019";"751135109";"Maison Blanche 9";"C";"R";441.2;2
"7501C";"Paris et communes limitrophes";"2019";"751135110";"Maison Blanche 10";"C";"R";5989.78;2
"7501C";"Paris et communes limitrophes";"2019";"751135110";"Maison Blanche 10";"C";"T";510;1
"7501C";"Paris et communes limitrophes";"2019";"751135110";"Maison Blanche 10";"C";"X";6284.19;7
"7501C";"Paris et communes limitrophes";"2019";"751135111";"Maison Blanche 11";"C";"R";638.45;1
"7501C";"Paris et communes limitrophes";"2019";"751135111";"Maison Blanche 11";"C";"X";2624.41;3
"7501C";"Paris et communes limitrophes";"2019";"751135112";"Maison Blanche 12";"C";"R";5797.81;11
"7501C";"Paris et communes limitrophes";"2019";"751135112";"Maison Blanche 12";"C";"T";359.65;1
"7501C";"Paris et communes limitrophes";"2019";"751135112";"Maison Blanche 12";"C";"X";3073.23;5
"7501C";"Paris et communes limitrophes";"2019";"751135113";"Maison Blanche 13";"C";"R";1505.52;1
"7501C";"Paris et communes limitrophes";"2019";"751135114";"Maison Blanche 14";"C";"R";242.56;1
"7501C";"Paris et communes limitrophes";"2019";"751135114";"Maison Blanche 14";"C";"T";701.18;1
"7501C";"Paris et communes limitrophes";"2019";"751135114";"Maison Blanche 14";"C";"X";1872.81;3
"7501C";"Paris et communes limitrophes";"2019";"751135115";"Maison Blanche 15";"C";"R";2206.7;3
"7501C";"Paris et communes limitrophes";"2019";"751135115";"Maison Blanche 15";"C";"T";820.37;1
"7501C";"Paris et communes limitrophes";"2019";"751135115";"Maison Blanche 15";"C";"X";244.65;1
"7501C";"Paris et communes limitrophes";"2019";"751135116";"Maison Blanche 16";"C";"R";3165.78;4
"7501C";"Paris et communes limitrophes";"2019";"751135116";"Maison Blanche 16";"C";"X";584.72;2
"7501C";"Paris et communes limitrophes";"2019";"751135117";"Maison Blanche 17";"C";"R";1932.55;3
"7501C";"Paris et communes limitrophes";"2019";"751135117";"Maison Blanche 17";"C";"X";4346;5
"7501C";"Paris et communes limitrophes";"2019";"751135118";"Maison Blanche 18";"C";"R";6601.98;2
"7501C";"Paris et communes limitrophes";"2019";"751135118";"Maison Blanche 18";"C";"T";207.01;1
"7501C";"Paris et communes limitrophes";"2019";"751135118";"Maison Blanche 18";"C";"X";2242.87;2
"7501C";"Paris et communes limitrophes";"2019";"751135119";"Maison Blanche 19";"C";"R";633.05;2
"7501C";"Paris et communes limitrophes";"2019";"751135119";"Maison Blanche 19";"C";"T";334.56;1
"7501C";"Paris et communes limitrophes";"2019";"751135119";"Maison Blanche 19";"C";"X";7505.08;3
"7501C";"Paris et communes limitrophes";"2019";"751135120";"Maison Blanche 20";"C";"R";"secret";"secret"
"7501C";"Paris et communes limitrophes";"2019";"751135120";"Maison Blanche 20";"C";"T";5185.68;2
"7501C";"Paris et communes limitrophes";"2019";"751135120";"Maison Blanche 20";"C";"X";1253;3
"7501C";"Paris et communes limitrophes";"2019";"751135121";"Maison Blanche 21";"C";"R";544;1
"7501C";"Paris et communes limitrophes";"2019";"751135122";"Maison Blanche 22";"C";"R";2880.12;6
"7501C";"Paris et communes limitrophes";"2019";"751135122";"Maison Blanche 22";"C";"X";4774.62;4
"7501C";"Paris et communes limitrophes";"2019";"751135123";"Maison Blanche 23";"C";"R";416.81;1
"7501C";"Paris et communes limitrophes";"2019";"751135123";"Maison Blanche 23";"C";"T";"secret";"secret"
"7501C";"Paris et communes limitrophes";"2019";"751135123";"Maison Blanche 23";"C";"X";279;1
"7501C";"Paris et communes limitrophes";"2019";"751135124";"Maison Blanche 24";"C";"R";19536.6;10
"7501C";"Paris et communes limitrophes";"2019";"751135124";"Maison Blanche 24";"C";"T";"secret";"secret"
"7501C";"Paris et communes limitrophes";"2019";"751135124";"Maison Blanche 24";"C";"X";601.13;2
"7501C";"Paris et communes limitrophes";"2019";"751135125";"Maison Blanche 25";"C";"R";2391;2
"7501C";"Paris et communes limitrophes";"2019";"751135201";"Croulebarbe 1";"C";"R";2348.67;6
"7501C";"Paris et communes limitrophes";"2019";"751135201";"Croulebarbe 1";"C";"T";3709.43;3
"7501C";"Paris et communes limitrophes";"2019";"751135201";"Croulebarbe 1";"C";"X";3860.83;5
"7501C";"Paris et communes limitrophes";"2019";"751135202";"Croulebarbe 2";"C";"R";1350.08;3
"7501C";"Paris et communes limitrophes";"2019";"751135202";"Croulebarbe 2";"C";"T";"secret";"secret"
"7501C";"Paris et communes limitrophes";"2019";"751135202";"Croulebarbe 2";"C";"X";2392.86;5
"7501C";"Paris et communes limitrophes";"2019";"751135203";"Croulebarbe 3";"C";"R";6216.55;4
"7501C";"Paris et communes limitrophes";"2019";"751135203";"Croulebarbe 3";"C";"T";1338.94;2
"7501C";"Paris et communes limitrophes";"2019";"751135203";"Croulebarbe 3";"C";"X";4202.49;5
"7501C";"Paris et communes limitrophes";"2019";"751135204";"Croulebarbe 4";"C";"R";2825.23;5
"7501C";"Paris et communes limitrophes";"2019";"751135204";"Croulebarbe 4";"C";"T";1354.96;2
"7501C";"Paris et communes limitrophes";"2019";"751135204";"Croulebarbe 4";"C";"X";2127.88;2
"7501C";"Paris et communes limitrophes";"2019";"751135205";"Croulebarbe 5";"C";"R";1983.34;5
"7501C";"Paris et communes limitrophes";"2019";"751135205";"Croulebarbe 5";"C";"T";363;1
"7501C";"Paris et communes limitrophes";"2019";"751135205";"Croulebarbe 5";"C";"X";2044.92;2
"7501C";"Paris et communes limitrophes";"2019";"751135206";"Croulebarbe 6";"C";"R";8074.56;7
"7501C";"Paris et communes limitrophes";"2019";"751135206";"Croulebarbe 6";"C";"X";3059.1;5
"7501C";"Paris et communes limitrophes";"2019";"751135207";"Croulebarbe 7";"C";"X";1247.63;1
"7501C";"Paris et communes limitrophes";"2019";"75113XXXX";"Iris fictif de la commune Paris 13e Arrondissement";"C";"R";5036.49;4
"7501C";"Paris et communes limitrophes";"2019";"75113XXXX";"Iris fictif de la commune Paris 13e Arrondissement";"C";"T";1669.32;1
"7501C";"Paris et communes limitrophes";"2019";"75113XXXX";"Iris fictif de la commune Paris 13e Arrondissement";"C";"X";7257.8;10
"7501C";"Paris et communes limitrophes";"2019";"751145301";"Montparnasse 1";"C";"R";2025.9;2
"7501C";"Paris et communes limitrophes";"2019";"751145301";"Montparnasse 1";"C";"X";5554.01;4
"7501C";"Paris et communes limitrophes";"2019";"751145302";"Montparnasse 2";"C";"R";3383.94;6
"7501C";"Paris et communes limitrophes";"2019";"751145302";"Montparnasse 2";"C";"T";1503.54;2
"7501C";"Paris et communes limitrophes";"2019";"751145302";"Montparnasse 2";"C";"X";4257.57;6
"7501C";"Paris et communes limitrophes";"2019";"751145306";"Montparnasse 6";"C";"R";4498.4;6
"7501C";"Paris et communes limitrophes";"2019";"751145307";"Montparnasse 7";"C";"R";1336.15;1
"7501C";"Paris et communes limitrophes";"2019";"751145307";"Montparnasse 7";"C";"T";678.88;3
"7501C";"Paris et communes limitrophes";"2019";"751145307";"Montparnasse 7";"C";"X";545.5;4
"7501C";"Paris et communes limitrophes";"2019";"751145310";"Montparnasse 10";"C";"R";848.25;3
"7501C";"Paris et communes limitrophes";"2019";"751145310";"Montparnasse 10";"C";"X";1654.68;2
"7501C";"Paris et communes limitrophes";"2019";"751145311";"Montparnasse 11";"C";"X";27877.87;4
"7501C";"Paris et communes limitrophes";"2019";"751145401";"Parc de Montsouris 1";"C";"X";11202.92;11
"7501C";"Paris et communes limitrophes";"2019";"751145402";"Parc de Montsouris 2";"C";"R";6379.68;4
"7501C";"Paris et communes limitrophes";"2019";"751145402";"Parc de Montsouris 2";"C";"X";9372.14;5
"7501C";"Paris et communes limitrophes";"2019";"751145403";"Parc de Montsouris 3";"C";"R";416.81;1
"7501C";"Paris et communes limitrophes";"2019";"751145403";"Parc de Montsouris 3";"C";"X";1643.89;3
"7501C";"Paris et communes limitrophes";"2019";"751145404";"Parc de Montsouris 4";"C";"R";906.1;1
"7501C";"Paris et communes limitrophes";"2019";"751145404";"Parc de Montsouris 4";"C";"X";"secret";"secret"
"7501C";"Paris et communes limitrophes";"2019";"751145405";"Parc de Montsouris 5";"C";"R";2302.88;4
"7501C";"Paris et communes limitrophes";"2019";"751145405";"Parc de Montsouris 5";"C";"X";3192.95;4
"7501C";"Paris et communes limitrophes";"2019";"751145406";"Parc de Montsouris 6";"C";"R";10408.46;12
"7501C";"Paris et communes limitrophes";"2019";"751145406";"Parc de Montsouris 6";"C";"T";18745.82;3
"7501C";"Paris et communes limitrophes";"2019";"751145406";"Parc de Montsouris 6";"C";"X";3621.45;7
"7501C";"Paris et communes limitrophes";"2019";"751145407";"Parc de Montsouris 7";"C";"X";15164.91;7
"7501C";"Paris et communes limitrophes";"2019";"751145501";"Petit Montrouge 1";"C";"X";17299.82;3
"7501C";"Paris et communes limitrophes";"2019";"751145502";"Petit Montrouge 2";"C";"R";1725.07;2
"7501C";"Paris et communes limitrophes";"2019";"751145502";"Petit Montrouge 2";"C";"T";1089.05;3
"7501C";"Paris et communes limitrophes";"2019";"751145502";"Petit Montrouge 2";"C";"X";3766.46;8
"7501C";"Paris et communes limitrophes";"2019";"751145505";"Petit Montrouge 5";"C";"R";2753.86;6
"7501C";"Paris et communes limitrophes";"2019";"751145505";"Petit Montrouge 5";"C";"T";1325.74;3
"7501C";"Paris et communes limitrophes";"2019";"751145505";"Petit Montrouge 5";"C";"X";745.8;3
"7501C";"Paris et communes limitrophes";"2019";"751145506";"Petit Montrouge 6";"C";"R";604;1
"7501C";"Paris et communes limitrophes";"2019";"751145506";"Petit Montrouge 6";"C";"T";1823.35;1
"7501C";"Paris et communes limitrophes";"2019";"751145506";"Petit Montrouge 6";"C";"X";787;1
"7501C";"Paris et communes limitrophes";"2019";"751145507";"Petit Montrouge 7";"C";"R";4430.4;4
"7501C";"Paris et communes limitrophes";"2019";"751145507";"Petit Montrouge 7";"C";"X";957.67;3
"7501C";"Paris et communes limitrophes";"2019";"751145508";"Petit Montrouge 8";"C";"R";4580.84;8
"7501C";"Paris et communes limitrophes";"2019";"751145508";"Petit Montrouge 8";"C";"T";453.75;1
"7501C";"Paris et communes limitrophes";"2019";"751145508";"Petit Montrouge 8";"C";"X";930.98;4
"7501C";"Paris et communes limitrophes";"2019";"751145509";"Petit Montrouge 9";"C";"R";"secret";"secret"
"7501C";"Paris et communes limitrophes";"2019";"751145510";"Petit Montrouge 10";"C";"R";5152.92;8
"7501C";"Paris et communes limitrophes";"2019";"751145510";"Petit Montrouge 10";"C";"X";"secret";"secret"
"7501C";"Paris et communes limitrophes";"2019";"751145511";"Petit Montrouge 11";"C";"R";1249.84;3
"7501C";"Paris et communes limitrophes";"2019";"751145513";"Petit Montrouge 13";"C";"R";993.23;2
"7501C";"Paris et communes limitrophes";"2019";"751145513";"Petit Montrouge 13";"C";"X";338.74;1
"7501C";"Paris et communes limitrophes";"2019";"751145514";"Petit Montrouge 14";"C";"X";552;1
"7501C";"Paris et communes limitrophes";"2019";"751145515";"Petit Montrouge 15";"C";"R";305.29;1
"7501C";"Paris et communes limitrophes";"2019";"751145515";"Petit Montrouge 15";"C";"T";745.79;2
"7501C";"Paris et communes limitrophes";"2019";"751145515";"Petit Montrouge 15";"C";"X";4610.22;4
"7501C";"Paris et communes limitrophes";"2019";"751145604";"Plaisance 4";"C";"T";1245;1
"7501C";"Paris et communes limitrophes";"2019";"751145604";"Plaisance 4";"C";"X";5722.72;6
"7501C";"Paris et communes limitrophes";"2019";"751145605";"Plaisance 5";"C";"R";11244.59;8
"7501C";"Paris et communes limitrophes";"2019";"751145605";"Plaisance 5";"C";"T";792.57;3
"7501C";"Paris et communes limitrophes";"2019";"751145605";"Plaisance 5";"C";"X";1928.33;3
"7501C";"Paris et communes limitrophes";"2019";"751145606";"Plaisance 6";"C";"R";1544.55;1
"7501C";"Paris et communes limitrophes";"2019";"751145606";"Plaisance 6";"C";"X";2784.76;2
"7501C";"Paris et communes limitrophes";"2019";"751145607";"Plaisance 7";"C";"X";4027.26;2
"7501C";"Paris et communes limitrophes";"2019";"751145608";"Plaisance 8";"C";"R";929.46;3
"7501C";"Paris et communes limitrophes";"2019";"751145608";"Plaisance 8";"C";"X";1980.07;3
"7501C";"Paris et communes limitrophes";"2019";"751145609";"Plaisance 9";"C";"R";418.9;2
"7501C";"Paris et communes limitrophes";"2019";"751145609";"Plaisance 9";"C";"X";2876.84;4
"7501C";"Paris et communes limitrophes";"2019";"751145610";"Plaisance 10";"C";"R";4194.41;3
"7501C";"Paris et communes limitrophes";"2019";"751145610";"Plaisance 10";"C";"X";4023.24;3
"7501C";"Paris et communes limitrophes";"2019";"751145611";"Plaisance 11";"C";"R";"secret";"secret"
"7501C";"Paris et communes limitrophes";"2019";"751145611";"Plaisance 11";"C";"X";2528.46;3
"7501C";"Paris et communes limitrophes";"2019";"751145612";"Plaisance 12";"C";"R";1661.65;1
"7501C";"Paris et communes limitrophes";"2019";"751145612";"Plaisance 12";"C";"T";"secret";"secret"
"7501C";"Paris et communes limitrophes";"2019";"751145612";"Plaisance 12";"C";"X";575;1
"7501C";"Paris et communes limitrophes";"2019";"751145613";"Plaisance 13";"C";"R";5573.38;7
"7501C";"Paris et communes limitrophes";"2019";"751145613";"Plaisance 13";"C";"T";259.28;2
"7501C";"Paris et communes limitrophes";"2019";"751145613";"Plaisance 13";"C";"X";1076;2
"7501C";"Paris et communes limitrophes";"2019";"751145614";"Plaisance 14";"C";"R";"secret";"secret"
